veliplanchiste,"{véliplanchiste} n. m. et f.\nPersonne qui fait de la planche à voile."												
vitalité,"n. f.\nÉnergie, dynamisme. Les enfants ont une vitalité débordante."												
vitam æternam (ad),"V. ad vitam æternam."												
vitamine,"n. f.\nSubstance indispensable à l'organisme. La vitamine A, la vitamine B1, la vitamine C. \nNote.- Attention à l'orthographe: vitamine."												
vitaminé,", ée  adj.\nSe dit d'un aliment auquel on a ajouté des vitamines. Des céréales vitaminées. \nNote.- Attention à l'orthographe: vitaminé."												
vitaminique,"adj.\nRelatif aux vitamines. \nNote.- Attention à l'orthographe: vitaminique."												
vite,"adj. et adv.\n Adjectif\n(Litt.) Rapide. Les coureurs les plus vites. \nNote.- Comme adjectif, le mot prend la marque du pluriel.\n Adverbe \n- Rapidement. Il roule trop vite.\n- Dans peu de temps. Nous finirons vite.\n- Au plus vite, locution adverbiale. Sans tarder."												
vitesse,"n. f.\n Rapidité. La vitesse du vent.\n À toute vitesse, locution adverbiale. Très rapidement.\n Vitesse limite. Vitesse maximale permise sur une voie de circulation. Des vitesses limites fixées à 100 km/h.\nNote.- Ces mots mis en apposition prennent tous deux la marque du pluriel."												
viti-,"préf.\n Élément du latin signifiant ""vigne"".\n Les mots composés avec le préfixe viti- s'écrivent en un seul mot. La viticulture."												
viticole,"adj.\nRelatif à la culture de la vigne et à la production du vin."												
viticulteur,"n. m. \nviticultrice n. f.\nPersonne qui se consacre à la culture de la vigne et à la production du vin. \nSyn. vigneron."												
viticulture,"n. f.\nCulture de la vigne."												
vitrage,"n. m.\nEnsemble des vitres d'un immeuble."												
vitrail,"n. m.\nPanneau de verre décoratif. De magnifiques vitraux."												
vitre,"n. f.\nPanneau de verre qui garnit une ouverture. Baisser la glace de la portière."												
vitrer,"v. tr.\nGarnir de vitres."												
vitrerie,"n. f.\nCommerce du vitrier."												
vitreux,", euse  adj.\nQui a l'aspect du verre. Un regard vitreux."												
vitrier,"n. m.\nPersonne dont le métier est de travailler le verre, de poser les vitres."												
vitrine,"n. f.\n Partie d'un magasin, d'une boutique où les marchandises sont exposées derrière une vitre. De magnifiques vitrines remplies de tentations.\n Lèche-vitrines. Action de flâner en regardant les vitrines. Elle aime faire du lèche-vitrines."												
vitriol,"n. m.\nAcide sulfurique."												
vitro (in),"V. in vitro."												
vitupérer,"v. tr.\n Le é se change en è devant une syllabe muette, sauf à l'indicatif futur et au conditionnel présent. Je vitupère, mais je vitupérerai.\n Blâmer sévèrement. Il vitupère contre ses frères sans raison.\nNote.- Ce verbe est transitif direct et indirect. Dans la langue soutenue, le verbe se construit avec un complément d'objet direct, sans la préposition contre."												
vivace,"adj.\n Qui vit plusieurs années, en parlant des plantes (par opposition à annuel). Des fleurs vivaces.\n Durable. Une rancoeur vivace.\nNote.- Attention à l'orthographe: vivace."												
vivacité,"n. f.\n Entrain, promptitude à agir.\n Ardeur."												
vivant,", ante  adj.\nQui vit. Les êtres vivants. \nNote.- Ne pas confondre avec le participe présent invariable vivant. Des animaux vivant dans la jungle."												
vivat,"interj. et n. m.\n Interjection. (Vx) Bravo!\n Nom masculin. Exclamation dont on se sert pour acclamer une personne. Des vivats fervents.\nNote.- Attention à l'orthographe: vivat."												
vive,"interj.\nFormule d'acclamation. Vive les vacances! \nNote.- Suivie d'un nom pluriel, l'interjection peut s'orthographier vivent. Cependant, le mot demeure plutôt invariable."												
vivement,"adv.\nAvec vivacité, vigueur."												
viveur,"n. m.\n(Vx) Débauché."												
vivier,"n. m.\nÉtang aménagé pour y conserver des poissons vivants."												
vivifiant,", ante  adj.\nSain, qui donne de la vitalité. Cet air pur est vivifiant."												
vivifier,"v. tr.\n Redoublement du i à la première et à la deuxième personne du pluriel de l'indicatif imparfait et du subjonctif présent. (Que) nous vivifiions, (que) vous vivifiiez.\n Donner de la vigueur, tonifier."												
vivipare,"adj. et n. m.\nSe dit d'un animal dont les petits se développent à l'intérieur de l'organisme maternel. Les ovipares, les vivipares. \nNote.- Attention à l'orthographe: vivipare."												
viviparité,"n. f.\nMode de reproduction des vivipares."												
vivo (in),"V. in vivo."												
vivoter,"v. intr.\nVégéter. Ils vivotent tant bien que mal. \nNote.- Attention à l'orthographe: vivoter."												
vivre,"n. m.\n Le vivre et le couvert. La nourriture et le logement.\n (Au plur.) Aliments, provisions.\n Couper les vivres à quelqu'un. Refuser une aide pécuniaire."												
vivre,"v. tr., intr.\n Je vis, tu vis, il vit, nous vivons, vous vivez, ils vivent. Je vivais. Je vécus. Je vivrai. Je vivrais. Vis, vivons, vivez. Que je vive. Que je vécusse. Vivant, Vécu, ue.\n Transitif \n- Profiter de l'existence. Vivre sa vie comme on l'entend.\n- Ressentir. Les inquiétudes qu'il a vécues.\nNote.- En ce sens, le participe passé s'accorde puisqu'il s'agit d'un complément d'objet direct.\n Intransitif \n- Être en vie. Ses grands-parents vivent toujours.\nNote.- Le participe passé reste invariable si le verbe a un complément circonstanciel. Les dix années qu'il a vécu auprès d'elle (pendant lesquelles).\n- Durer. Et rose elle a vécu ce que vivent les roses, l'espace d'un matin. (Malherbe)."												
vizir,"n. m.\n (Hist.) Membre du conseil de certains pays islamiques.\n Grand vizir. Premier ministre."												
vocable,"n. m.\nMot servant à désigner un objet, une notion. \nNote.- Attention à l'orthographe: vocable."												
vocabulaire,"n. m.\n Ensemble des mots d'une langue.\n Ensemble des termes d'un domaine. Le vocabulaire de la gestion, de la mécanique des fluides.\n Ouvrage qui comprend les mots d'une spécialité avec leurs définitions.\nNote.- Ne pas confondre avec les mots suivants: \n- dictionnaire, recueil des mots d'une langue et des informations s'y rapportant, présentés selon un certain ordre (alphabétique, thématique, systématique, etc.)	\n- glossaire, petit répertoire érudit d'un auteur, d'un domaine	\n- lexique, ouvrage qui ne comporte pas de définitions et qui donne souvent l'équivalent dans une autre langue."										
vocal,", ale, aux  adj.\nRelatif à la voix. Les cordes vocales. \nAnt. instrumental."												
vocalique,"adj.\nQui se rapporte aux voyelles. Des alternances vocaliques."												
vocalise,"n. f.\nExercice vocal, en chant."												
vocaliser,"v. intr.\nFaire des vocalises."												
vocation,"n. f.\nInclination, aptitude particulière pour un domaine d'activité. La vocation touristique de cette région."												
vocifération,"n. f.\nHurlement."												
vociférer,"v. tr., intr.\n Le é se change en è devant une syllabe muette, sauf à l'indicatif futur et au conditionnel présent. Je vocifère, mais je vociférerai.\n Parler en hurlant. Il est toujours à vociférer. Ils vocifèrent des insultes."												
vodka,"n. f.\nEau-de-vie d'origine russe. Des vodkas frappées."												
voeu,"n. m.\nSouhait. Nos voeux les meilleurs. Vous comblez mon voeu le plus cher. \nNote.- On offre, on adresse des voeux de bonheur. On fait, on émet le voeu que tout aille bien. On forme des voeux pour la réussite d'une entreprise. Un prêtre prononce ses voeux."												
vogue,"n. f.\n Mode. La vogue des jupes courtes.\n En vogue. À la mode. Les romans en vogue cet été."												
voguer,"v. intr.\n(Litt.) Naviguer."												
voici,"prép.\n La préposition indique une personne, une chose proche. Voici notre maison et plus loin, voilà celle de nos amis.\nNote.- Dans la langue courante, cette distinction n'est pas toujours respectée, la préposition voilà étant beaucoup plus utilisée que la préposition voici.\n La préposition désigne une chose dont il sera question par opposition à voilà qui renvoie à une chose dont on a parlé. Voici ce qui arrivera.\n La préposition sert à désigner une chose qui commence à se produire (avec une valeur temporelle). Voici l'orage qui commence. Voici venir les beaux jours. \nV. voilà."												
voie,"n. f.\n Chemin. La voie publique, la voie maritime, une voie ferrée, des voies de circulation.\n Mode de transport. Par la voie des airs.\n (Fig.) Direction. La voie du succès.\n Intermédiaire. Suivre la voie hiérarchique.\n Voie lactée. Le mot voie désigne par métaphore cette galaxie et s'écrit avec une majuscule	 le déterminant qui suit s'écrit avec une minuscule. V. astre.\nHom. voix, ensemble de sons produits par les cordes vocales.\nVoie de circulation. Les noms de voies de circulation sont des odonymes. \n Les mots génériques des odonymes (avenue, boulevard, côte, place, route, rue) s'écrivent en minuscules et sont suivis du nom spécifique qui s'écrit avec une ou des majuscules. L'avenue des Champs-Élysées.\nNote.- Cependant, les noms d'odonymes caractérisés par un adjectif numéral ordinal s'écrivent avec une majuscule. La 5e Avenue.\n Les abréviations des odonymes usuels sont av. (avenue), bd (boulevard), pl. (place)."											
voilà,"prép.\n La préposition indique une personne, une chose relativement éloignée (par opposition à voici). Voilà que nous apercevons le petit village où nous nous rendons.\nNote.- La distinction entre les prépositions voilà et voici n'est pas toujours respectée, voilà tendant à supplanter voici dans la langue courante.\n La préposition renvoie à une chose dont il a été question (par opposition à voici) qui désigne une chose dont il sera question. Eh bien voilà ce que je voulais vous confier.\n Il y a. Voilà dix ans que je ne l'ai vu.\n En veux-tu, en voilà, locution. En abondance. Des framboises, en veux-tu, en voilà.\n En voilà assez. Je ne peux en tolérer davantage.\nNote.- Attention à l'orthographe: voilà. \nV. voici."												
voilage,"n. m.\nRideau léger."												
voile,"n. m. et f.\n Nom masculin \n- Étoffe destinée à couvrir le visage ou la tête des femmes dans certaines circonstances. Un voile de mariée.\n- (Fig.) Ce qui empêche de voir. Il faudrait lever le voile qui nous dissimule la vérité.\n Nom féminin \n- Pièce de toile fixée au mât d'un bateau pour recevoir le vent.\n- Faire voile. Naviguer. Ils font voile vers la Corse. \nNote.- Dans cette expression, le nom reste invariable.\n- Mettre les voiles. (Fam.) Partir précipitamment."												
voilé,", ée  adj.\n Qui porte un voile. Une femme voilée.\n (Fig.) Dissimulé. Le sens voilé d'un message."												
voiler,"v. tr., pronom.\n Transitif \n- Couvrir d'un voile.\n- (Litt.) Cacher sous des apparences. Voiler les faits.\nNote.- Ne pas confondre avec les verbes suivants: \n- cacher, dissimuler	\n- celer, tenir quelque chose secret	\n- déguiser, dissimuler sous une apparence trompeuse	\n- masquer, dissimuler derrière un masque	\n- taire, ne pas révéler ce que l'on n'est pas obligé de faire connaître.\n Pronominal Se couvrir d'un voile. Elles se sont voilées."								
voilette,"n. f.\nPetit voile fixé à la coiffure et qui cache partiellement le visage."												
voilier,"n. m.\nBateau muni de voiles. Un magnifique voilier à trois mâts. \nV. bateau."												
voilure,"n. f.\nEnsemble des voiles d'un navire."												
voir,"v. tr., intr., pronom.\n Je vois, tu vois, il voit, nous voyons, vous voyez, ils voient. Je voyais, tu voyais, il voyait, nous voyions, vous voyiez, ils voyaient. Je vis. Je verrai. Je verrais. Vois, voyons, voyez. Que je voie, que tu voies, qu'il voie, que nous voyions, que vous voyiez, qu'ils voient. Que je visse. Voyant. Vu, vue.\n Le y est suivi d'un i à la première et à la deuxième personne du pluriel de l'indicatif imparfait et du subjonctif présent. (Que) nous voyions.\n Transitif \n- Percevoir par la vision. De son bureau, on voit la cime des arbres.\nNote.- Le participe passé suivi d'un infinitif s'accorde en genre et en nombre avec le complément d'objet direct qui précède le verbe et qui fait l'action exprimée par l'infinitif. Les enfants qu'elle a vus grandir, mais les arbres que j'ai vu couper.\n- Être témoin d'un événement. Ils ont vu comment l'accident est arrivé.\n- Visiter, parcourir. Nous avons vu tous les châteaux de la Loire.\n- Rendre visite à. Venez donc prendre le thé, il y a si longtemps qu'on ne vous a vus.\n- (Fig.) S'apercevoir. Je vois que vous ne saisissez pas le sens de ma question.\n- Concerner. Ce commentaire n'a rien à voir avec la question qui nous intéresse.\n- (Fig.) Supporter. Elle ne peut plus la voir, elle est si désagréable.\nNote.- En ce sens, le verbe ne s'emploie que dans une tournure négative.\n- Laisser voir. Révéler. Il a laissé voir son véritable caractère.\n- Pour voir. Afin d'essayer.\n- Voir. Le verbe sert à renvoyer à un autre mot, dans un dictionnaire, un texte. Abréviation v. ou V.\n- Voir le jour. (Litt.) Venir au monde.\n Transitif indirect Voir à. Veiller à. Nous verrons à la qualité des travaux.\n Intransitif \n- Percevoir par la vue. Elle ne voit plus très bien.\n- Voir loin. Prévoir.\n- Voir venir. Attendre avant de prendre une décision.\n- Voyons. Formule d'encouragement, d'exhortation. Voyons, soyez raisonnable!\n Pronominal \n- Apercevoir sa propre image. Elles se sont vues dans le miroir.\n- Se regarder, se rencontrer. Ils se sont vus, mais n'ont pas échangé une parole. Elles se voient une fois par mois.\n- Être aperçu. Cette étoile ne se voit qu'en été."												
voire,"adv.\nEt même. Cette précaution est inutile, voire dangereuse. \nNote.- L'expression voire même est critiquée."												
voirie,"n. f.\nEnsemble des voies de communication publiques. \nNote.- Attention à l'orthographe: voirie."												
voisin,", ine  adj. et n. m. et f.\n Adjectif \n- Qui est proche, contigu. Des immeubles voisins.\n- Qui présente des analogies. La vigogne est un animal voisin du lama. Le sens voisin d'un mot.\n Nom masculin et féminin Personne qui habite à proximité. Nous avons de bons voisins."												
voisinage,"n. m.\nProximité. Le voisinage de la mer. Elle habite dans le voisinage."												
voiture,"n. f.\n Véhicule qui sert au transport des personnes, des choses. Une voiture de tourisme.\nNotes.- \n1  Ce mot est de plus en plus utilisé pour remplacer le mot automobile.\n2  Les noms propres et les marques des voitures de fabrication industrielle s'écrivent avec une majuscule et sont invariables. Une Renault, des Peugeot.\n3  L'accord du participe passé et de l'adjectif se fait généralement avec la désignation générique sousentendue. Une luxueuse (voiture) Cadillac.\n Véhicule roulant sur des rails servant au transport des voyageurs. En voiture! Le train part dans une minute.\nNote.- Théoriquement, la voiture sert au transport des personnes par rail, alors que le wagon sert au transport des marchandises. Dans les faits, le mot wagon est employé pour les personnes et les choses."												
voix,"n. f.\n Ensemble de sons produits par les cordes vocales.\n Appel, inspiration. Entendre la voix de la raison, une voix intérieure.\n Expression d'une opinion, d'un suffrage.\n Avoir voix au chapitre. Avoir droit de parole, participer à une décision.\n (Gramm.) Voix active, voix passive. Forme prise par le verbe suivant que l'action est faite ou subie par le sujet. \nNote.- Attention à l'orthographe: voix.\nHom. voie, chemin."												
vol,"n. m.\n Déplacement aérien au moyen d'ailes. Le vol des oiseaux.\n Trajet en avion. Nous prendrons le vol de 15 heures.\n À vol d'oiseau, locution adverbiale. En ligne droite.\n Action de voler. C'est un vol à main armée."												
vol.,"Abréviation de volume(s)."												
volage,"adj.\nFrivole."												
volaille,"n. f.\nOiseau de basse-cour."												
volant,", ante  adj. et n. m.\n Adjectif Qui peut voler. Des poissons volants.\n Nom masculin \n- Partie mobile d'un carnet, d'un chéquier, etc. (par opposition à talon).\n- Dispositif qui assure la direction d'un véhicule. Le volant de la voiture."												
volatil,", ile  adj.\nQui se transforme facilement en vapeur. Une substance volatile. \nNote.- Attention à l'orthographe: volatil. \nHom. volatile, oiseau domestique."												
volatile,"n. m.\nOiseau domestique. La basse-cour regorgeait de volatiles. \nNotes.- \n1  Attention à l'orthographe: volatile.\n2  Ne pas confondre avec l'adjectif volatil qui se dit de ce qui se transforme facilement en vapeur."												
volatiliser,"v. tr., pronom.\n Transitif \n- Réduire un corps en vapeur d'eau.\n- Voler, faire disparaître. Volatiliser une montre.\n Pronominal Disparaître. Les sommes se sont volatisées."												
volatilité,"n. f.\nCaractère d'un corps volatil."												
vol-au-vent,"n. m. inv.\nEntrée de pâte feuilletée garnie d'une viande, d'un poisson en sauce. Des vol-au-vent au poulet."												
volcan,"n. m.\nCratère situé sur une montagne d'où s'échappent de la cendre, de la lave en fusion, etc."												
volcanique,"adj.\nQui concerne les volcans. Des boues volcaniques. Une éruption volcanique. \nNote.- Attention à l'orthographe: volcanique."												
volcanologie,"n. f.\nÉtude des volcans. \nNote.- La forme vulcanologie est vieillie."												
volcanologique,"adj.\nRelatif à la volcanologie."												
volcanologue,"n. m. et f.\nSpécialiste de la volcanologie."												
volee,"{volée} n. f.\n Groupe d'oiseaux qui volent ensemble.\n Suite de coups.\n À toute volée. Il le frappa à toute volée.\nNote.- Dans cette expression, le nom est au singulier.\n À la volée. Très rapidement."												
voler,"v. tr., intr.\n Transitif. Dérober. On leur a volé leur voiture.\n Intransitif. Se déplacer dans l'air. Ils volent à haute altitude."												
volet,"n. m.\n Panneau de bois, de métal. Les volets rouges d'une fenêtre.\n Trié sur le volet. Sélectionné de façon très rigoureuse.\nNote.- Attention à l'orthographe: volet."												
voleter,"v. intr.\n Redoublement du t devant un e muet. Je volette, je voletterai, mais je voletais.\n Voler en changeant souvent de direction. Les oiseaux voletaient au rythme du vent."												
voleur,", euse  adj. et n. m. et f.\nPersonne qui a volé. Ce sont des voleurs expérimentés."												
volière,"n. f.\nCage où l'on enferme les oiseaux. Une belle volière remplie d'oiseaux tropicaux. \nNote.- Attention à l'orthographe: volière."												
volley-ball,"ou volley n. m.\n Sport opposant deux équipes qui doivent se renvoyer un ballon par-dessus un filet. Il excelle au volley-ball. Des volley-balls.\nNote.- Attention à l'orthographe: volley-ball."												
volontaire,"adj. et n. m. et f.\n Adjectif \n- Qui se fait librement, par la volonté. Un geste volontaire.\n- Déterminé. C'est une personne très volontaire.\n Nom masculin et féminin Personne qui propose librement ses services, notamment dans l'armée."												
volontairement,"adv.\nIntentionnellement. Il l'a volontairement frappé."												
volonté,"n. f.\n Intention ferme de faire ou de ne pas faire quelque chose. Ils ont agi contre sa volonté.\n Détermination. Ils ont beaucoup de volonté. Elle a une volonté de fer.\n À volonté. Autant qu'on en désire.\n (Au plur.) Caprices. Il faisait toutes ses volontés, ses quatre volontés."												
volontiers,"adv.\n De bon gré. Je prendrais volontiers un jus bien frais.\n Facilement. Elle le croit volontiers.\nNote.- Attention à l'orthographe: volontiers."												
volt,"n. m.\n Symbole V (s'écrit sans point).\n Unité de mesure de force électromotrice. Le courant est de 220 volts. La tension électrique est de 110 V ou (elliptiquement), de 110."												
voltage,"n. m.\n(Fam.) Tension électrique. Le voltage d'un appareil d'éclairage. \nNote.- On préférera le mot tension en ce sens. Ce fer à repasser est à bivoltage (110 V et 220 V), ou mieux, à bitension."												
volte-face,"n. f. inv.\nRevirement. Des volte-face déconcertantes. \nNote.- Attention à l'orthographe: volte-face."												
voltige,"n. f.\n Exercices d'acrobatie. Un exercice de voltige périlleux.\n (Fig.) Entreprise difficile. C'est de la haute voltige que de convaincre le conseil."												
voltiger,"v. intr.\n Le g est suivi d'un e devant les lettres a et o. Il voltigea, nous voltigeons.\n Voler en battant des ailes. Une hirondelle voltigeait autour de la maison.\n Flotter au gré du vent. Les cerfs-volants voltigent doucement."												
voltmètre,"n. m.\nAppareil qui sert à mesurer des différences de potentiel électrique en volts."												
volubile,"adj.\nQui parle beaucoup. Il n'est pas très volubile. \nNote.- Attention à l'orthographe de cet adjectif qui conserve la même forme au masculin et au féminin: volubile."												
volubilis,"n. m.\n Plante ornementale grimpante à fleurs colorées.\nNote.- Attention au genre masculin de ce nom: un volubilis."												
volubilité,"n. f.\nAisance, abondance de la parole. Ils racontèrent leur expédition avec une volubilité étourdissante."												
volume,"n. m.\n Abréviation vol. (s'écrit avec un point).\n Livre relié. Une magnifique bibliothèque remplie de volumes anciens.\n Partie d'un ouvrage. Un dictionnaire en trois volumes.  \nSyn. tome.\n Étendue d'un corps à trois dimensions.\nNote.- L'évaluation du volume (en mètres cubes) est le cubage, alors que la superficie est l'étendue d'un corps à deux dimensions.\n Intensité des sons. Pourriez-vous baisser le volume du téléviseur, on ne s'entend plus. \nNote.- Attention à l'orthographe: volume."												
volumétrique,"adj.\nQui se rapporte à la détermination des volumes."												
volumineux,", euse  adj.\nQui a un grand volume. Des colis volumineux."												
volupté,"n. f.\n Plaisir des sens.\n Satisfaction intellectuelle, esthétique."												
voluptueusement,"adv.\nAvec volupté. Le chat s'étire longuement et voluptueusement."												
voluptueux,", euse  adj.\n Qui exprime, qui inspire la volupté. Une danse voluptueuse.\n Qui procure du plaisir. Des rêveries voluptueuses."												
volute,"n. f.\n Spirale. Les volutes d'un chapiteau ionique.\n (Fig.) Ce qui est en forme de spirale. Des volutes de fumée.\nNote.- Attention au genre féminin de ce nom: une volute."												
vomir,"v. tr.\n Rejeter par la bouche ce qui était dans l'estomac.\n (Fig.) Projeter. Le volcan vomissait des matières en fusion.\n (Fig.) Proférer. Vomir des insultes."												
vomissement,"n. m.\nAction de vomir. \nNote.- Attention à l'orthographe: vomissement."												
vomitif,", ive  adj. et n. m.\n Adjectif. Qui fait vomir.\n Nom masculin. Substance qui provoque le vomissement."												
vorace,"adj.\nQui mange avec avidité. Un appétit vorace. \nNote.- Attention à l'orthographe de cet adjectif qui conserve la même forme au masculin et au féminin: vorace."												
voracement,"adv.\nAvec voracité."												
voracité,"n. f.\nAvidité."												
vos,"V. votre."												
vosgien,", ienne  adj. et n. m. et f.\nDes Vosges. \nNote.- Contrairement à l'adjectif, le nom s'écrit avec une majuscule."												
vote,"n. m.\nActe par lequel une personne donne son opinion."												
voter,"v. tr., intr.\n Transitif. Adopter par un vote majoritaire (une loi, une mesure, etc.). Le Parlement a voté la loi sur les nouvelles mesures budgétaires.\n Intransitif. Exprimer son opinion par un vote. Le devoir du citoyen est d'aller voter."												
votre,"{vôtre} adj., pron. poss. et n. m.\n Pronom possessif de la deuxième personne du pluriel et des deux genres.\n Qui est à vous. Cette patrie est la vôtre. Ces collègues sont les vôtres.\nNote.- Le pronom s'emploie avec l'article défini	 il s'emploie également en fonction d'attribut, sans article, comme un adjectif. Ces inquiétudes sont vôtres.\n Vôtre, nom masculin. Mettez-y du vôtre. Faites un effort.\n Vôtres n. m. pl. Vos parents, vos proches, vos amis. Il n'est pas des vôtres. \nNote.- Attention à l'orthographe: vôtre."											
votre,", vos  adj. poss.\n Adjectif possessif de la deuxième personne du pluriel et des deux genres.\n Qui est à vous, qui vous appartient, qui est relatif à vous. Votre jardin, vos amis.\nNote.- L'adjectif s'accorde en nombre avec le nom déterminé, il s'accorde en personne avec le nom désignant le ""possesseur"" et représente au moins deux possesseurs, dont celui à qui l'on parle."												
vouer,"v. tr., pronom.\n Transitif \n- Mettre sous la protection de Dieu, d'un saint.\n- Consacrer. Vouer sa vie à la recherche.\n- Destiner. Ce projejt est voué à l'échec.\n Pronominal Il ne sait à quel saint se vouer. Il ne sait à qui recourir."												
vouloir,"v. tr.\n Je veux, tu veux, il veut, nous voulons, vous voulez, ils veulent. Je voulais. Je voulus, Je voudrai. Je voudrais. Veux, voulons, voulez ou veuille, veuillons, veuillez. Que je veuille, que tu veuilles, qu'il veuille, que nous voulions, que vous vouliez, qu'ils veuillent. Que je voulusse. Voulant. Voule, ue.\nNote.- Le verbe comporte deux formes à l'impératif et au subjonctif présent. La forme veuille, veuillez exprime une prière, un ordre atténué signifiant ""je vous prie de vouloir"". Veuillez me suivre s'il vous plaît. Veuillez agréer, Madame, l'expression de mes salutations respectueuses.\n Manifester sa volonté, exiger. Il veut partir. Elle sait ce qu'elle veut. Nous voulons que vous restiez.\nNote.- Le verbe se construit généralement avec le mode subjonctif.\n Souhaiter. Ils voudraient gagner le gros lot.\n Que veux-tu, que voulez-vous? Ces locutions introduisent une excuse.\n Consentir. Prenez-vous Tristan comme époux? Oui, je le veux.\n Demander. Combien voulez-vous pour ce voilier?\n Locutions \n- Vouloir bien, bien vouloir. Dans l'usage administratif, ces locutions verbales ne sont pas tout à fait synonymes. Un supérieur écrira à un subordonné Vous voudrez bien répondre à la demande de ce client sans délai. Par contre, si l'on s'adresse à un supérieur, on emploie la tournure plus déférente bien vouloir. Monsieur le Président, je vous prie de bien vouloir accepter ma démission.\nNote.- Dans l'usage courant, ces formules s'emploient indifféremment. Je vous prie de bien vouloir (ou de vouloir bien) me pardonner.\n- En vouloir à quelqu'un. Avoir de la rancune contre quelqu'un. Il lui en veut terriblement."												
vouloir,"n. m.\nVolonté. Selon son bon vouloir."												
vous,"pron.\nPronom personnel de la deuxième personne du pluriel. EMPLOIS \n Sujet. Vous acceptez de participer.\n En apposition. Vous, vous êtes persuadés d'avoir raison, mais nous croyons que vous êtes dans l'erreur.\n Complément. Parfumez-vous. Cette maison est à vous. Nous irons chez vous.\nNote.- Le pronom sert à s'adresser à plusieurs personnes ou à une personne que l'on vouvoie. On accordera le participe passé ou l'adjectif au singulier s'il s'agit d'une seule personne. Vous étiez habillée de blanc.\n Collectif + vous. Le verbe se met généralement à la troisième personne du pluriel. La plupart d'entre vous seront présents (ou présentes si le genre des personnes désignées est féminin).\n Chez-vous, nom masculin. Nous irons voir votre nouveau chez-vous très bientôt."												
voussoiement,"V. vouvoiement."												
voussoyer,"V. vouvoyer."												
voute,"{voûte} n. f.\n Ouvrage de maçonnerie fait en arc.\n Clef de voûte. Pierre centrale qui maintient toutes les autres.\n Clef de voûte. (Fig.) Élément essentiel d'un système.\n (Litt.) Ce qui recouvre, ce qui est en forme de berceau. La voûte des arbres, la voûte étoilée.\nNote.- Attention à l'orthographe: voûte."												
vouté,"{voûté} , ée  adj.\nCourbé. Un dos voûté."												
vouter,"{voûter} v. tr., pronom.\n Transitif. Recouvrir d'une voûte.\n Pronominal. Devenir courbé. Avec l'âge, il s'est voûté."												
vouvoiement,"ou voussoiement n. m.\nAction de vouvoyer. Le vouvoiement est parfois très agréable. \nNotes.- \n1  Attention à l'orthographe: vouvoiement.\n2  La forme voussoiement est vieillie."												
vouvoyer,"ou voussoyer v. tr., pronom.\n Le y se change en i devant un e muet. Il vouvoie, il vouvoyait.\n Le y est suivi d'un i à la première et à la deuxième personne du pluriel de l'indicatif imparfait et du subjonctif présent. (Que) nous vouvoyions.\n S'adresser à une personne en employant le pronom vous. La possibilité de vouvoyer ou de tutoyer la personne à qui l'on s'adresse est une particularité de la langue française, entre autres.\nNote.- La forme voussoyer est vieillie."												
vouvray,"n. m.\nVin blanc. \nNote.- Le nom du vin s'écrit avec une minuscule, tandis que le nom de la région s'écrit avec une majuscule."												
voyage,"n. m.\n Déplacement. Un voyage d'affaires, un voyage en ltalie, en avion.\n Agent de voyages. Personne qui exploite une agence de voyages.\n Aller et retour d'un lieu à un autre. Pour déménager, ils ont fait plusieurs voyages avec leur camionnette."												
voyager,"v. intr.\n Le g est suivi d'un e devant les lettres a et o. Il voyagea, nous voyageons.\n Faire des voyages. Ils adorent voyager pour découvrir de nouvelles régions ensemble."												
voyageur,", euse  adj. et n. m. et f.\n Adjectif Pigeon voyageur. Pigeon dressé pour revenir au lieu d'où il est parti. Des pigeons voyageurs.\n Nom masculin et féminin \n- Personne qui voyage. Des voyageurs infatigables.\n- Passager d'un véhicule public. Nous informons les voyageurs qu'il y a un retard de 20 minutes."												
voyagiste,"n. m. et f.\nPersonne qui commercialise des voyages à forfait directement ou par l'entremise d'agences de voyages. \nNote.- Ce terme a fait l'objet d'une recommandation officielle pour remplacer l'anglicisme tour-opérateur."												
voyance,"n. f.\nFaculté de voir les événements passés ou futurs."												
voyant,", ante  adj. et n. m. et f.\n Adjectif \n- Qui voit.\n- Qui se voit de loin. Des couleurs voyantes.\n Nom masculin et féminin \n- Personne qui prétend lire le passé, l'avenir. Une voyante extralucide.\n- Personne qui a la vue. Les voyants et les nonvoyants.\n Nom masculin. Témoin lumineux. Le voyant du niveau d'huile. Des voyants utiles."												
voyelle,"n. f.\n Son vocal.\n Lettre qui représente ce son. Les voyelles a, e, i, o, u, y.\nNote.- Attention à l'orthographe: voyelle."												
voyeur,", euse  n. m. et f.\nPersonne qui assiste à des scènes érotiques, sans être vue."												
voyou,"adj. et n. m.\n Adjectif. Espiègle, digne d'un voyou. Un sourire voyou.\n Nom masculin. Chenapan, vaurien. De petits voyous.\nNote.- Ce mot ne comporte pas de forme féminine."												
vrac,"n. m.\n Marchandise sans emballage.\n En vrac. Sans emballage. Des produits en vrac.\n (Fig.) En désordre. Des vêtements en vrac."												
vrai,", vraie  adj., adv. et n. m.\n Adjectif \n- Véritable, conforme à la vérité. Une histoire vraie.\n- À vrai dire, à dire vrai, locution adverbiale. Pour être sincère.\nNote.- Ces deux locutions sont synonymes.\n- Réel. Une vraie perle.\n Adverbe Conformément à la vérité. Ils disent vrai. \nNote.- Pris adverbialement, le mot est invariable.\n Nom masculin La vérité. Départager le vrai du faux."												
